वाक्यम्,कर्ता,कर्म,क्रिया,कालः
शिष्यः ज्ञानं लप्स्यते,शिष्यः,ज्ञानम्,लप्स्यते,भविष्यत्
गुरुः पुस्तकं दास्यति,गुरुः,पुस्तकम्,दास्यति,भविष्यत्
बालिका गीतं गास्यति,बालिका,गीतम्,गास्यति,भविष्यत्
मुनिः तपः करिष्यति,मुनिः,तपः,करिष्यति,भविष्यत्
अर्जुनः बाणं मोक्ष्यति,अर्जुनः,बाणम्,मोक्ष्यति,भविष्यत्
नृपः राष्ट्रं रक्षिष्यति,नृपः,राष्ट्रम्,रक्षिष्यति,भविष्यत्
कृषकः बीजं वप्स्यति,कृषकः,बीजम्,वप्स्यति,भविष्यत्
त्वं जलं पास्यसि,त्वम्,जलम्,पास्यसि,भविष्यत्
सा वस्त्रं प्रक्षालयिष्यति,सा,वस्त्रम्,प्रक्षालयिष्यति,भविष्यत्
वयं नाटकं द्रक्ष्यामः,वयम्,नाटकम्,द्रक्ष्यामः,भविष्यत्
यूयं गृहं गमिष्यथ,यूयम्,गृहम्,गमिष्यथ,भविष्यत्
वैद्यः रोगं ज्ञास्यति,वैद्यः,रोगम्,ज्ञास्यति,भविष्यत्
आरक्षकः नगरं रक्षिष्यति,आरक्षकः,नगरम्,रक्षिष्यति,भविष्यत्
माता अन्नं पचिष्यति,माता,अन्नम्,पचिष्यति,भविष्यत्
रामः वनम् अगच्छत्,रामः,वनम्,अगच्छत्,भूत
बालकः फलम् अखादत्,बालकः,फलम्,अखादत्,भूत
कृष्णः दुग्धम् अपिबत्,कृष्णः,दुग्धम्,अपिबत्,भूत
सीता रामायणम् अपठत्,सीता,रामायणम्,अपठत्,भूत
अहम् ओदनम् अखादम्,अहम्,ओदनम्,अखादम्,भूत
शिष्यः प्रश्नम् अपृच्छत्,शिष्यः,प्रश्नम्,अपृच्छत्,भूत
गुरुः ज्ञानम् अददात्,गुरुः,ज्ञानम्,अददात्,भूत
बालिका पत्रम् अलिखत्,बालिका,पत्रम्,अलिखत्,भूत
मुनिः सत्यम् अवदत्,मुनिः,सत्यम्,अवदत्,भूत
अर्जुनः रथम् अनयत्,अर्जुनः,रथम्,अनयत्,भूत
नृपः दानम् अकरोत्,नृपः,दानम्,अकरोत्,भूत
कृषकः भारम् अहरत्,कृषकः,भारम्,अहरत्,भूत
त्वं श्लोकम् अस्मरः,त्वम्,श्लोकम्,अस्मरः,भूत
सा चित्रम् अपश्यत्,सा,चित्रम्,अपश्यत्,भूत
वयं कथाम् अशृणुम,वयम्,कथाम्,अशृणुम,भूत
यूयम् आपणम् अगच्छत,यूयम्,आपणम्,अगच्छत,भूत
वैद्यः नाडीम् अपश्यत्,वैद्यः,नाडीम्,अपश्यत्,भूत
आरक्षकः धनम् अरक्षत्,आरक्षकः,धनम्,अरक्षत्,भूत
माता भोजनम् अपचत्,माता,भोजनम्,अपचत्,भूत
पिता कार्यम् अकरोत्,पिता,कार्यम्,अकरोत्,भूत
सिंहः मृगं हन्ति,सिंहः,मृगम्,हन्ति,वर्तमान
गजः जलं पिबति,गजः,जलम्,पिबति,वर्तमान
वानरः फलं क्षिपति,वानरः,फलम्,क्षिपति,वर्तमान
मयूरः सर्पं पश्यति,मयूरः,सर्पम्,पश्यति,वर्तमान
शुकः दाडिमं खादति,शुकः,दाडिमम्,खादति,वर्तमान
कपोतः धान्यं खादति,कपोतः,धान्यम्,खादति,वर्तमान
अश्वः घासं खादति,अश्वः,घासम्,खादति,वर्तमान
धेनुः क्षीरं यच्छति,धेनुः,क्षीरम्,यच्छति,वर्तमान
महिला जलं नयति,महिला,जलम्,नयति,वर्तमान
आपणिकः धान्यं ददाति,आपणिकः,धान्यम्,ददाति,वर्तमान
सेवकः गृहं मार्जयति,सेवकः,गृहम्,मार्जयति,वर्तमान
सैनिकः देशं रक्षति,सैनिकः,देशम्,रक्षति,वर्तमान
कविः काव्यं रचयति,कविः,काव्यम्,रचयति,वर्तमान
भ्राता भगिनीं रक्षति,भ्राता,भगिनीम्,रक्षति,वर्तमान
मित्रं चित्रं पश्यति,मित्रम्,चित्रम्,पश्यति,वर्तमान
देवः वरं ददाति,देवः,वरम्,ददाति,वर्तमान
जनः वार्तां शृणोति,जनः,वार्ताम्,शृणोति,वर्तमान
कृषकः क्षेत्रं कर्षति,कृषकः,क्षेत्रम्,कर्षति,वर्तमान
भिक्षुकः अन्नं याचते,भिक्षुकः,अन्नम्,याचते,वर्तमान
पण्डितः शास्त्रं बोधयति,पण्डितः,शास्त्रम्,बोधयति,वर्तमान
सिंहः मृगं हनिष्यति,सिंहः,मृगम्,हनिष्यति,भविष्यत्
गजः वनं गमिष्यति,गजः,वनम्,गमिष्यति,भविष्यत्
वानरः फलं त्यक्ष्यति,वानरः,फलम्,त्यक्ष्यति,भविष्यत्
मयूरः नृत्यं करिष्यति,मयूरः,नृत्यम्,करिष्यति,भविष्यत्
शुकः वचनं वदिष्यति,शुकः,वचनम्,वदिष्यति,भविष्यत्
कपोतः गगनं गमिष्यति,कपोतः,गगनम्,गमिष्यति,भविष्यत्
अश्वः भारं वक्ष्यति,अश्वः,भारम्,वक्ष्यति,भविष्यत्
धेनुः दुग्धं दास्यति,धेनुः,दुग्धम्,दास्यति,भविष्यत्
महिला पुष्पं त्रोटयिष्यति,महिला,पुष्पम्,त्रोटयिष्यति,भविष्यत्
आपणिकः धनं लप्स्यते,आपणिकः,धनम्,लप्स्यते,भविष्यत्
सेवकः कार्यं करिष्यति,सेवकः,कार्यम्,करिष्यति,भविष्यत्
सैनिकः युद्धं करिष्यति,सैनिकः,युद्धम्,करिष्यति,भविष्यत्
कविः श्लोकं लेखिष्यति,कविः,श्लोकम्,लेखिष्यति,भविष्यत्
भ्राता सन्देशं नेष्यति,भ्राता,सन्देशम्,नेष्यति,भविष्यत्
मित्रं साहाय्यं करिष्यति,मित्रम्,साहाय्यम्,करिष्यति,भविष्यत्
देवः आशीर्वादं दास्यति,देवः,आशीर्वादम्,दास्यति,भविष्यत्
जनः उत्सवं द्रक्ष्यति,जनः,उत्सवम्,द्रक्ष्यति,भविष्यत्
कृषकः फलं विक्रेष्यते,कृषकः,फलम्,विक्रेष्यते,भविष्यत्
भिक्षुकः धनं याचिष्यते,भिक्षुकः,धनम्,याचिष्यते,भविष्यत्
पण्डितः मन्त्रं पठिष्यति,पण्डितः,मन्त्रम्,पठिष्यति,भविष्यत्
सिंहः गर्जनम् अकरोत्,सिंहः,गर्जनम्,अकरोत्,भूत
गजः वृक्षम् अत्रोटयत्,गजः,वृक्षम्,अत्रोटयत्,भूत
वानरः कूर्दनम् अकरोत्,वानरः,कूर्दनम्,अकरोत्,भूत
मयूरः मेघम् अपश्यत्,मयूरः,मेघम्,अपश्यत्,भूत
शुकः बीजम् अखादत्,शुकः,बीजम्,अखादत्,भूत
कपोतः नीडम् अरचयत्,कपोतः,नीडम्,अरचयत्,भूत
अश्वः मार्गम् अधावत्,अश्वः,मार्गम्,अधावत्,भूत
धेनुः वत्सम् अपश्यत्,धेनुः,वत्सम्,अपश्यत्,भूत
महिला कुम्भम् अनयत्,महिला,कुम्भम्,अनयत्,भूत
आपणिकः तण्डुलम् अतुलयत्,आपणिकः,तण्डुलम्,अतुलयत्,भूत
सेवकः वस्त्रम् अक्षालयत्,सेवकः,वस्त्रम्,अक्षालयत्,भूत
सैनिकः शस्त्रम् अधारयत्,सैनिकः,शस्त्रम्,अधारयत्,भूत
कविः राजानम् अस्तौत्,कविः,राजानम्,अस्तौत्,भूत
भ्राता पुस्तकम् अददात्,भ्राता,पुस्तकम्,अददात्,भूत
मित्रं गृहम् अगच्छत्,मित्रम्,गृहम्,अगच्छत्,भूत
देवः असुरम् अमारयत्,देवः,असुरम्,अमारयत्,भूत
जनः देवम् अनमत्,जनः,देवम्,अनमत्,भूत
कृषकः बीजम् अवपत्,कृषकः,बीजम्,अवपत्,भूत
भिक्षुकः वस्त्रम् अयाचत,भिक्षुकः,वस्त्रम्,अयाचत,भूत
पण्डितः ज्ञानम् अभाषत,पण्डितः,ज्ञानम्,अभाषत,भूत
रामः दण्डं धारयति,रामः,दण्डम्,धारयति,वर्तमान
गोपालः धेनुं चारयति,गोपालः,धेनुम्,चारयति,वर्तमान
गोविन्दः घटं पूरयति,गोविन्दः,घटम्,पूरयति,वर्तमान
रमा पुष्पं जिघ्रति,रमा,पुष्पम्,जिघ्रति,वर्तमान
राधा कृष्णं स्मरति,राधा,कृष्णम्,स्मरति,वर्तमान
गणेशः मोदकं खादति,गणेशः,मोदकम्,खादति,वर्तमान
शिवः विषं पिबति,शिवः,विषम्,पिबति,वर्तमान
ब्रह्मा जगत् सृजति,ब्रह्मा,जगत्,सृजति,वर्तमान
विष्णुः विश्वं पालयति,विष्णुः,विश्वम्,पालयति,वर्तमान
लक्ष्मीः धनं ददाति,लक्ष्मीः,धनम्,ददाति,वर्तमान
सरस्वती वीणां वादयति,सरस्वती,वीणाम्,वादयति,वर्तमान
इन्द्रः वृष्टिं करोति,इन्द्रः,वृष्टिम्,करोति,वर्तमान
वायुः गन्धं वहति,वायुः,गन्धम्,वहति,वर्तमान
सूर्यः प्रकाशं यच्छति,सूर्यः,प्रकाशम्,यच्छति,वर्तमान
चन्द्रः शीतलतां ददाति,चन्द्रः,शीतलताम्,ददाति,वर्तमान
अग्निः काष्ठं दहति,अग्निः,काष्ठम्,दहति,वर्तमान
वरुणः पाशं धारयति,वरुणः,पाशम्,धारयति,वर्तमान
यमः दण्डं नयति,यमः,दण्डम्,नयति,वर्तमान
कुबेरः निधिं रक्षति,कुबेरः,निधिम्,रक्षति,वर्तमान
कामः बाणं मुञ्चति,कामः,बाणम्,मुञ्चति,वर्तमान
रामः लङ्कां गमिष्यति,रामः,लङ्काम्,गमिष्यति,भविष्यत्
गोपालः तक्रं मथिष्यति,गोपालः,तक्रम्,मथिष्यति,भविष्यत्
गोविन्दः गोकुलं त्यक्ष्यति,गोविन्दः,गोकुलम्,त्यक्ष्यति,भविष्यत्
रमा मालां रचयिष्यति,रमा,मालाम्,रचयिष्यति,भविष्यत्
राधा गीतं गास्यति,राधा,गीतम्,गास्यति,भविष्यत्
गणेशः विघ्नं हरिष्यति,गणेशः,विघ्नम्,हरिष्यति,भविष्यत्
शिवः ताण्डवं करिष्यति,शिवः,ताण्डवम्,करिष्यति,भविष्यत्
ब्रह्मा वेदं वदिष्यति,ब्रह्मा,वेदम्,वदिष्यति,भविष्यत्
विष्णुः शङ्खं ध्मास्यति,विष्णुः,शङ्खम्,ध्मास्यति,भविष्यत्
लक्ष्मीः समृद्धिं दास्यति,लक्ष्मीः,समृद्धिम्,दास्यति,भविष्यत्
सरस्वती पुस्तकं धारयिष्यति,सरस्वती,पुस्तकम्,धारयिष्यति,भविष्यत्
इन्द्रः वज्रं प्रहरिष्यति,इन्द्रः,वज्रम्,प्रहरिष्यति,भविष्यत्
वायुः मेघं नेष्यति,वायुः,मेघम्,नेष्यति,भविष्यत्
सूर्यः तमः नाशयिष्यति,सूर्यः,तमः,नाशयिष्यति,भविष्यत्
चन्द्रः चकोरं तोषयिष्यति,चन्द्रः,चकोरम्,तोषयिष्यति,भविष्यत्
अग्निः हविः धक्ष्यति,अग्निः,हविः,धक्ष्यति,भविष्यत्
वरुणः जलं वर्षिष्यति,वरुणः,जलम्,वर्षिष्यति,भविष्यत्
यमः प्राणं हरिष्यति,यमः,प्राणम्,हरिष्यति,भविष्यत्
कुबेरः स्वर्णं दास्यति,कुबेरः,स्वर्णम्,दास्यति,भविष्यत्
कामः मनः क्षोभयिष्यति,कामः,मनः,क्षोभयिष्यति,भविष्यत्
देवदत्तः ग्रामम् अगच्छत्,देवदत्तः,ग्रामम्,अगच्छत्,भूत
यज्ञदत्तः मन्त्रम् अपठत्,यज्ञदत्तः,मन्त्रम्,अपठत्,भूत
सोमदत्तः धनम् अहरत्,सोमदत्तः,धनम्,अहरत्,भूत
भद्रसेनः खड्गम् अचालयत्,भद्रसेनः,खड्गम्,अचालयत्,भूत
चारुदत्तः पादपम् असिञ्चत्,चारुदत्तः,पादपम्,असिञ्चत्,भूत
वसन्तसेना आभूषणम् अधारयत्,वसन्तसेना,आभूषणम्,अधारयत्,भूत
चाणक्यः नीतिम् अबोधयत्,चाणक्यः,नीतिम्,अबोधयत्,भूत
चन्द्रगुप्तः राज्यम् अकरोत्,चन्द्रगुप्तः,राज्यम्,अकरोत्,भूत
बिन्दुसारः शत्रुम् अजयत्,बिन्दुसारः,शत्रुम्,अजयत्,भूत
अशोकः स्तम्भम् अस्थापयत्,अशोकः,स्तम्भम्,अस्थापयत्,भूत
कालिदासः नाटकम् अरचयत्,कालिदासः,नाटकम्,अरचयत्,भूत
वाल्मीकिः रामायणम् अलिखत्,वाल्मीकिः,रामायणम्,अलिखत्,भूत
व्यासः महाभारतम् अगायत्,व्यासः,महाभारतम्,अगायत्,भूत
पाणिनिः व्याकरणम् अरचयत्,पाणिनिः,व्याकरणम्,अरचयत्,भूत
पतञ्जलिः योगम् अदर्शयत्,पतञ्जलिः,योगम्,अदर्शयत्,भूत
सुश्रुतः शल्यम् अकरोत्,सुश्रुतः,शल्यम्,अकरोत्,भूत
चरकः ग्रन्थम् अलिखत्,चरकः,ग्रन्थम्,अलिखत्,भूत
आर्यभटः गणितम् असाधयत्,आर्यभटः,गणितम्,असाधयत्,भूत
भास्कराचार्यः सिद्धान्तम् अदर्शयत्,भास्कराचार्यः,सिद्धान्तम्,अदर्शयत्,भूत
वराहमिहिरः ग्रन्थम् अलिखत्,वराहमिहिरः,ग्रन्थम्,अलिखत्,भूत
व्याधः बाणं मुञ्चति,व्याधः,बाणम्,मुञ्चति,वर्तमान
धीवरः जालं क्षिपति,धीवरः,जालम्,क्षिपति,वर्तमान
रजकः वस्त्रं क्षालयति,रजकः,वस्त्रम्,क्षालयति,वर्तमान
कुम्भकारः घटं रचयति,कुम्भकारः,घटम्,रचयति,वर्तमान
स्वर्णकारः अलङ्कारं करोति,स्वर्णकारः,अलङ्कारम्,करोति,वर्तमान
चर्मकारः पादरक्षां सीव्यति,चर्मकारः,पादरक्षाम्,सीव्यति,वर्तमान
नापितः केशं कर्तयति,नापितः,केशम्,कर्तयति,वर्तमान
तक्षकः काष्ठं तक्षति,तक्षकः,काष्ठम्,तक्षति,वर्तमान
लोहकारः लोहं तापयति,लोहकारः,लोहम्,तापयति,वर्तमान
आपणिकः तण्डुलं तौलयति,आपणिकः,तण्डुलम्,तौलयति,वर्तमान
छात्रः पुस्तकं नेष्यति,छात्रः,पुस्तकम्,नेष्यति,भविष्यत्
आचार्यः उपदेशं दास्यति,आचार्यः,उपदेशम्,दास्यति,भविष्यत्
अतिथिः भोजनं खादिष्यति,अतिथिः,भोजनम्,खादिष्यति,भविष्यत्
गायकः गीतं गास्यति,गायकः,गीतम्,गास्यति,भविष्यत्
वादकः वाद्यं वादयिष्यति,वादकः,वाद्यम्,वादयिष्यति,भविष्यत्
नर्तकः रङ्गं प्राविशत्,नर्तकः,रङ्गम्,प्राविशत्,भूत
चालकः शकटम् अचालयत्,चालकः,शकटम्,अचालयत्,भूत
यात्रिकः मार्गम् अपृच्छत्,यात्रिकः,मार्गम्,अपृच्छत्,भूत
दर्शकः चलचित्रम् अपश्यत्,दर्शकः,चलचित्रम्,अपश्यत्,भूत
लेखकः लेखम् अलिखत्,लेखकः,लेखम्,अलिखत्,भूत
याजकः हविः जुहोति,याजकः,हविः,जुहोति,वर्तमान
तपस्वी मन्त्रं जपति,तपस्वी,मन्त्रम्,जपति,वर्तमान
संन्यासी दण्डं गृह्णाति,संन्यासी,दण्डम्,गृह्णाति,वर्तमान
वटुः समिधम् आहन्ति,वटुः,समिधम्,आहन्ति,वर्तमान
उपाध्यायः वेदम् अध्यापयति,उपाध्यायः,वेदम्,अध्यापयति,वर्तमान
अध्येता विद्यां गृह्णाति,अध्येता,विद्याम्,गृह्णाति,वर्तमान
साधकः सिद्धिं विन्दति,साधकः,सिद्धिम्,विन्दति,वर्तमान
विद्वान् सभे पश्यति,विद्वान्,सभे,पश्यति,वर्तमान
पण्डितः अर्थं व्याचष्टे,पण्डितः,अर्थम्,व्याचष्टे,वर्तमान
कविः रसम् आस्वादयति,कविः,रसम्,आस्वादयति,वर्तमान
गायकः रागं विस्तारयति,गायकः,रागम्,विस्तारयति,वर्तमान
नर्तकी भावं नटति,नर्तकी,भावम्,नटति,वर्तमान
चित्रकारः रूपं लिखति,चित्रकारः,रूपम्,लिखति,वर्तमान
शिल्पी पाषाणं तक्षति,शिल्पी,पाषाणम्,तक्षति,वर्तमान
तक्षकः रथं रचयति,तक्षकः,रथम्,रचयति,वर्तमान
कर्मकरः सेतुं बध्नाति,कर्मकरः,सेतुम्,बध्नाति,वर्तमान
कौलालः मृदं मृद्नाति,कौलालः,मृदम्,मृद्नाति,वर्तमान
सुवर्णकारः कुण्डलं करोति,सुवर्णकारः,कुण्डलम्,करोति,वर्तमान
सौचिकः कञ्चुकं सीव्यति,सौचिकः,कञ्चुकम्,सीव्यति,वर्तमान
रजकः मलं दूरीकरोति,रजकः,मलम्,दूरीकरोति,वर्तमान
याजकः हविः होष्यति,याजकः,हविः,होष्यति,भविष्यत्
तपस्वी मन्त्रं जपिष्यति,तपस्वी,मन्त्रम्,जपिष्यति,भविष्यत्
संन्यासी दण्डं ग्रहीष्यति,संन्यासी,दण्डम्,ग्रहीष्यति,भविष्यत्
वटुः समिधम् आहरिष्यति,वटुः,समिधम्,आहरिष्यति,भविष्यत्
उपाध्यायः वेदम् अध्यापयिष्यति,उपाध्यायः,वेदम्,अध्यापयिष्यति,भविष्यत्
अध्येता विद्यां ग्रहीष्यति,अध्येता,विद्याम्,ग्रहीष्यति,भविष्यत्
साधकः सिद्धिं वेत्स्यति,साधकः,सिद्धिम्,वेत्स्यति,भविष्यत्
विद्वान् सभां द्रक्ष्यति,विद्वान्,सभाम्,द्रक्ष्यति,भविष्यत्
पण्डितः अर्थं व्याचक्षिष्यते,पण्डितः,अर्थम्,व्याचक्षिष्यते,भविष्यत्
कविः रसम् आस्वादयिष्यति,कविः,रसम्,आस्वादयिष्यति,भविष्यत्
गायकः रागं विस्तारयिष्यति,गायकः,रागम्,विस्तारयिष्यति,भविष्यत्
नर्तकी भावं नटिष्यति,नर्तकी,भावम्,नटिष्यति,भविष्यत्
चित्रकारः रूपं लेखिष्यति,चित्रकारः,रूपम्,लेखिष्यति,भविष्यत्
शिल्पी पाषाणं तक्षिष्यति,शिल्पी,पाषाणम्,तक्षिष्यति,भविष्यत्
तक्षकः रथं रचयिष्यति,तक्षकः,रथम्,रचयिष्यति,भविष्यत्
कर्मकरः सेतुं भन्त्स्यति,कर्मकरः,सेतुम्,भन्त्स्यति,भविष्यत्
कौलालः मृदं मर्दिष्यति,कौलालः,मृदम्,मर्दिष्यति,भविष्यत्
सुवर्णकारः कुण्डलं करिष्यति,सुवर्णकारः,कुण्डलम्,करिष्यति,भविष्यत्
सौचिकः कञ्चुकं सीविष्यति,सौचिकः,कञ्चुकम्,सीविष्यति,भविष्यत्
रजकः मलं दूरीकरिष्यति,रजकः,मलम्,दूरीकरिष्यति,भविष्यत्
याजकः हविः अजुहोत्,याजकः,हविः,अजुहोत्,भूत
तपस्वी मन्त्रम् अजपत्,तपस्वी,मन्त्रम्,अजपत्,भूत
संन्यासी दण्डम् अगृह्णात्,संन्यासी,दण्डम्,अगृह्णात्,भूत
वटुः समिधम् आहरत्,वटुः,समिधम्,आहरत्,भूत
उपाध्यायः वेदम् अध्यापयत्,उपाध्यायः,वेदम्,अध्यापयत्,भूत
अध्येता विद्याम् अगृह्णात्,अध्येता,विद्याम्,अगृह्णात्,भूत
साधकः सिद्धिम् अविन्दत्,साधकः,सिद्धिम्,अविन्दत्,भूत
विद्वान् सभाम् अपश्यत्,विद्वान्,सभाम्,अपश्यत्,भूत
पण्डितः अर्थं व्याचष्ट,पण्डितः,अर्थम्,व्याचष्ट,भूत
कविः रसम् आस्वादयत्,कविः,रसम्,आस्वादयत्,भूत
गायकः रागम् अविस्तारयत्,गायकः,रागम्,अविस्तारयत्,भूत
नर्तकी भावम् अनटत्,नर्तकी,भावम्,अनटत्,भूत
चित्रकारः रूपम् अलिखत्,चित्रकारः,रूपम्,अलिखत्,भूत
शिल्पी पाषाणम् अतक्षत्,शिल्पी,पाषाणम्,अतक्षत्,भूत
तक्षकः रथम् अरचयत्,तक्षकः,रथम्,अरचयत्,भूत
कर्मकरः सेतुम् अबध्नात्,कर्मकरः,सेतुम्,अबध्नात्,भूत
कौलालः मृदम् अमृद्नात्,कौलालः,मृदम्,अमृद्नात्,भूत
सुवर्णकारः कुण्डलम् अकरोत्,सुवर्णकारः,कुण्डलम्,अकरोत्,भूत
सौचिकः कञ्चुकम् असीव्यत्,सौचिकः,कञ्चुकम्,असीव्यत्,भूत
रजकः मलम् दूरीअकरोत्,रजकः,मलम्,दूरीअकरोत्,भूत
भृत्यः जलम् आनयति,भृत्यः,जलम्,आनयति,वर्तमान
पाचकः सूपं पचति,पाचकः,सूपम्,पचति,वर्तमान
परिचारकः व्यजनं वीजयति,परिचारकः,व्यजनम्,वीजयति,वर्तमान
रक्षकः प्रासादं रक्षति,रक्षकः,प्रासादम्,रक्षति,वर्तमान
दूतः सन्देशं हरति,दूतः,सन्देशम्,हरति,वर्तमान
मल्लः बाहुं स्फोटयति,मल्लः,बाहुम्,स्फोटयति,वर्तमान
व्यायामवीरः दण्डं करोति,व्यायामवीरः,दण्डम्,करोति,वर्तमान
धावकः परिधिं धावति,धावकः,परिधिम्,धावति,वर्तमान
प्लवकः नदीं तरति,प्लवकः,नदीम्,तरति,वर्तमान
आरोहकः पर्वतं रोहति,आरोहकः,पर्वतम्,रोहति,वर्तमान
क्रीडकः कन्दुकं क्षिपति,क्रीडकः,कन्दुकम्,क्षिपति,वर्तमान
शिकारी बाणं मुञ्चति,शिकारी,बाणम्,मुञ्चति,वर्तमान
व्याधः मृगं विध्यति,व्याधः,मृगम्,विध्यति,वर्तमान
गोपः धेनुं दोग्धि,गोपः,धेनुम्,दोग्धि,वर्तमान
कौलिकः पटं वयति,कौलिकः,पटम्,वयति,वर्तमान
तन्तुवायः तन्तुं तनोति,तन्तुवायः,तन्तुम्,तनोति,वर्तमान
आपणिकः मूल्यं पृच्छति,आपणिकः,मूल्यम्,पृच्छति,वर्तमान
क्रेता धनं ददाति,क्रेता,धनम्,ददाति,वर्तमान
विक्रेता वस्तु यच्छति,विक्रेता,वस्तु,यच्छति,वर्तमान
धनिकः सुवर्णं सञ्चिनोति,धनिकः,सुवर्णम्,सञ्चिनोति,वर्तमान
भृत्यः जलम् आनेष्यति,भृत्यः,जलम्,आनेष्यति,भविष्यत्
पाचकः सूपं पचिष्यति,पाचकः,सूपम्,पचिष्यति,भविष्यत्
परिचारकः व्यजनं वीजयिष्यति,परिचारकः,व्यजनम्,वीजयिष्यति,भविष्यत्
रक्षकः प्रासादं रक्षिष्यति,रक्षकः,प्रासादम्,रक्षिष्यति,भविष्यत्
दूतः सन्देशं हरिष्यति,दूतः,सन्देशम्,हरिष्यति,भविष्यत्
मल्लः बाहुं स्फोटयिष्यति,मल्लः,बाहुम्,स्फोटयिष्यति,भविष्यत्
व्यायामवीरः दण्डं करिष्यति,व्यायामवीरः,दण्डम्,करिष्यति,भविष्यत्
धावकः परिधिं धाविष्यति,धावकः,परिधिम्,धाविष्यति,भविष्यत्
प्लवकः नदीं तरिष्यति,प्लवकः,नदीम्,तरिष्यति,भविष्यत्
आरोहकः पर्वतं रोक्ष्यति,आरोहकः,पर्वतम्,रोक्ष्यति,भविष्यत्
क्रीडकः कन्दुकं क्षेप्स्यति,क्रीडकः,कन्दुकम्,क्षेप्स्यति,भविष्यत्
शिकारी बाणं मोक्ष्यति,शिकारी,बाणम्,मोक्ष्यति,भविष्यत्
व्याधः मृगं वेत्स्यति,व्याधः,मृगम्,वेत्स्यति,भविष्यत्
गोपः धेनुं धोक्ष्यति,गोपः,धेनुम्,धोक्ष्यति,भविष्यत्
कौलिकः पटं वयिष्यति,कौलिकः,पटम्,वयिष्यति,भविष्यत्
तन्तुवायः तन्तुं तनिष्यति,तन्तुवायः,तन्तुम्,तनिष्यति,भविष्यत्
आपणिकः मूल्यं प्रक्ष्यति,आपणिकः,मूल्यम्,प्रक्ष्यति,भविष्यत्
क्रेता धनं दास्यति,क्रेता,धनम्,दास्यति,भविष्यत्
विक्रेता वस्तु यम्स्यति,विक्रेता,वस्तु,यम्स्यति,भविष्यत्
धनिकः सुवर्णं सञ्चेष्यति,धनिकः,सुवर्णम्,सञ्चेष्यति,भविष्यत्
भृत्यः जलम् आनयत्,भृत्यः,जलम्,आनयत्,भूत
पाचकः सूपम् अपचत्,पाचकः,सूपम्,अपचत्,भूत
परिचारकः व्यजनम् अवीजयत्,परिचारकः,व्यजनम्,अवीजयत्,भूत
रक्षकः प्रासादम् अरक्षत्,रक्षकः,प्रासादम्,अरक्षत्,भूत
दूतः सन्देशम् अहरत्,दूतः,सन्देशम्,अहरत्,भूत
मल्लः बाहुम् अस्फोटयत्,मल्लः,बाहुम्,अस्फोटयत्,भूत
व्यायामवीरः दण्डम् अकरोत्,व्यायामवीरः,दण्डम्,अकरोत्,भूत
धावकः परिधिम् अधावत्,धावकः,परिधिम्,अधावत्,भूत
प्लवकः नदीम् अतरत्,प्लवकः,नदीम्,अतरत्,भूत
आरोहकः पर्वतम् अरोहत्,आरोहकः,पर्वतम्,अरोहत्,भूत
क्रीडकः कन्दुकम् अक्षिपत्,क्रीडकः,कन्दुकम्,अक्षिपत्,भूत
